Monthly Climate Statistics for 'GEORGETOWN POST OFFICE' [030018],,,,,,,,,,,,,,,,
Created on [ 02 Nov 2011 15:24:58 GMT+00:00],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
030018 GEORGETOWN POST OFFICE,,,,,,,,,,,,,,,,
Commenced: 1872,,,,,,,,,,,,,,,,
Last Record: 2009,,,,,,,,,,,,,,,,
Latitude:   18.29 Degrees South,,,,,,,,,,,,,,,,
Longitude:  143.55 Degrees East,,,,,,,,,,,,,,,,
Elevation:     292 m,,,,,,,,,,,,,,,,
State: QLD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Statistic Element,January,February,March,April,May,June,July,August,September,October,November,December,Annual,Number of Years,Start Year,End Year
Mean maximum temperature (Degrees C) for years 1901 to 2007 ,34.4,33.5,33.4,32.5,30.4,28.2,28.2,30,33,35.8,36.6,36.1,32.7,99,1901,2007
Highest temperature (Degrees C) for years 1901 to 2007 ,43.5,41,39.2,38.3,36.8,34.8,36.7,37,39.5,42.6,43.3,43.5,43.5,99,1901,2007
Date of Highest temperature for years 1901 to 2007 ,5-Jan-94,1-Feb-03,24-Mar-05,1-Apr-42,4-May-07,4-Jun-07,14-Jul-96,31-Aug-75,30-Sep-88,30-Oct-13,7-Nov-65,2-Dec-96,2-Dec-96,N/A,1901,2007
Lowest maximum temperature (Degrees C) for years 1901 to 2007 ,22.8,23.3,21.8,21.7,19.4,12.8,13.3,16.7,19,23.3,22.8,22.8,12.8,99,1901,2007
Date of Lowest maximum temperature for years 1901 to 2007 ,13-Jan-40,12-Feb-39,12-Mar-03,3-Apr-41,25-May-50,16-Jun-36,3-Jul-38,28-Aug-53,7-Sep-75,31-Oct-57,1-Nov-57,7-Dec-64,16-Jun-36,N/A,1901,2007
Decile 1 maximum temperature (Degrees C) for years 1901 to 2007 ,30.6,30.2,30.6,30,27.8,25.5,25.5,27.2,30,33.1,33.9,32.4, ,98,1901,2007
Decile 9 maximum temperature (Degrees C) for years 1901 to 2007 ,37.8,36.7,36.1,35,33,31.1,31,32.8,36,38.3,39.4,39.4, ,98,1901,2007
Mean number of days >= 30 Degrees C for years 1901 to 2007 ,28.4,25.5,28.4,26.9,19.5,7.3,6.7,16.7,27.5,30.1,29.3,29.6,275.9,99,1901,2007
Mean number of days >= 35 Degrees C for years 1901 to 2007 ,14.5,8.7,8.3,3.7,0.4,0,0,0.5,6.5,21.3,24.4,21.8,110.1,99,1901,2007
Mean number of days >= 40 Degrees C for years 1901 to 2007 ,0.7,0.1,0,0,0,0,0,0,0,0.6,1.7,1.8,4.9,99,1901,2007
Mean minimum temperature (Degrees C) for years 1894 to 2007 ,22.9,22.7,21.5,19.4,16.1,13.1,12,13.1,16.2,19.7,21.7,22.8,18.4,112,1894,2007
Lowest temperature (Degrees C) for years 1894 to 2007 ,10.6,15.1,11.1,5,2.2,-0.6,-3,-1.1,2.2,6.7,5,11.1,-3,112,1894,2007
Date of Lowest temperature for years 1894 to 2007 ,26-Jan-49,5-Feb-90,29-Mar-66,22-Apr-24,30-May-22,27-Jun-65,9-Jul-74,6-Aug-53,25-Sep-51,18-Oct-76,11-Nov-52,24-Dec-64,9-Jul-74,N/A,1894,2007
Highest minimum temperature (Degrees C) for years 1894 to 2007 ,29.9,29.4,27,26.7,27.2,26.3,22.8,25,27,28.5,28.6,31.1,31.1,112,1894,2007
Date of Highest minimum temperature for years 1894 to 2007 ,14-Jan-67,9-Feb-28,20-Mar-90,13-Apr-62,3-May-59,17-Jun-04,4-Jul-42,27-Aug-33,22-Sep-86,31-Oct-03,2-Nov-03,15-Dec-46,15-Dec-46,N/A,1894,2007
Decile 1 minimum temperature (Degrees C) for years 1894 to 2007 ,21,20.9,18.3,15,10,6.3,5.6,7.2,11.1,15.6,18.3,20.5, ,113,1894,2007
Decile 9 minimum temperature (Degrees C) for years 1894 to 2007 ,25,24.4,23.9,22.8,20.7,18.3,17.4,18,20.3,23.4,24.9,25.3, ,113,1894,2007
Mean number of days <= 2 Degrees C for years 1894 to 2007 ,0,0,0,0,0,0.3,0.4,0.2,0,0,0,0,0.9,112,1894,2007
Mean number of days <= 0 Degrees C for years 1894 to 2007 ,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.2,112,1894,2007
Mean daily ground minimum temperature Degrees C for years 1900 to 1914 ,20.3,19.3,18.5,15.4,12.1,9.3,7.5,8.8,12,15.9,18.4,19.6,14.8,10,1900,1914
Lowest ground temperature Degrees C for years 1900 to 1914 ,11.1,12.3,7.8,3.8,-1.4,-2.8,-9.4,-5.6,0.3,1.7,7.8,4.4,-9.4,10,1900,1914
Date of Lowest ground temperature  for years 1900 to 1914 ,9-Jan-02,11-Feb-00,30-Mar-02,25-Apr-11,19-May-00,13-Jun-09,30-Jul-01,30-Aug-06,20-Sep-02,1-Oct-06,2-Nov-06,24-Dec-06,30-Jul-01,N/A,1900,1914
Mean number of days ground min. temp. <= -1 Degrees C for years 1900 to 1914 ,0,0,0,0,0.2,1,1.7,1,0,0,0,0,3.9,10,1900,1914
Mean rainfall (mm) for years 1872 to 2009 ,224.9,212.9,123.1,28.8,9.3,10.5,6.8,4.3,6.4,16.7,50.7,127.8,823.5,137,1872,2009
Highest rainfall (mm) for years 1872 to 2009 ,779.4,812.6,536.2,227.9,123.6,98.1,136.1,86.6,137.2,139.8,314.3,525.3,2045.7,137,1872,2009
Date of Highest rainfall for years 1872 to 2009 ,1974,1955,1950,1891,1920,2007,1874,1893,1894,1975,1973,1886,1974,N/A,1872,2009
Lowest rainfall (mm) for years 1872 to 2009 ,32.6,9.6,0,0,0,0,0,0,0,0,0,0.8,308.4,137,1872,2009
Date of Lowest rainfall for years 1872 to 2009 ,1943,1905,1988,2008,2008,2008,2007,2008,2008,2006,2002,1899,1926,N/A,1872,2009
Decile 1 monthly rainfall (mm) for years 1872 to 2009 ,75.9,61.1,12.2,0,0,0,0,0,0,0,5,23.3,465.7,126,1872,2009
Decile 5 (median) monthly rainfall (mm) for years 1872 to 2009 ,191.4,187.8,100.1,11.3,0.5,1.3,0,0,0,6.8,35.8,104.4,786.4,126,1872,2009
Decile 9 monthly rainfall (mm) for years 1872 to 2009 ,390.6,371.9,267.2,86.5,25.9,35.6,22.8,13.4,20.6,47.3,102.5,257,1183.3,126,1872,2009
Highest daily rainfall (mm) for years 1872 to 2009 ,235.7,213.4,229.6,114.3,93.2,54.6,37.4,72.9,137.2,74.9,120.4,143.5,235.7,126,1872,2009
Date of Highest daily rainfall for years 1872 to 2009 ,31-Jan-65,25-Feb-55,16-Mar-65,04 Apr  1891,27 May  1890,3-Jun-58,23-Jul-08,22 Aug  1893,13 Sep  1894,16-Oct-54,23-Nov-89,27-Dec-73,31-Jan-65,N/A,1872,2009
Mean number of days of rain for years 1800 to 3000 ,13.7,12.9,8.3,2.7,1.2,1.2,0.8,0.4,0.7,2,5.3,9.5,58.7,126,1872,2009
Mean number of days of rain >= 1 mm for years 1872 to 2009 ,10.8,10.4,6.3,2,0.8,0.9,0.6,0.4,0.5,1.5,4,7.4,45.6,126,1872,2009
Mean number of days of rain >= 10 mm for years 1872 to 2009 ,5.6,5.3,2.9,0.7,0.2,0.3,0.2,0.1,0.2,0.4,1.4,3.1,20.4,126,1872,2009
Mean number of days of rain >= 25 mm for years 1872 to 2009 ,2.6,2.4,1.3,0.3,0.1,0.1,0,0.1,0,0.1,0.5,1.3,8.8,126,1872,2009
Mean daily wind run (km) for years null to null , , , , , , , , , , , , , ,, , 
Maximum wind gust speed (km/h) for years null to null , , , , , , , , , , , , , ,, , 
Date of Maximum wind gust speed for years null to null , , , , , , , , , , , , , ,N/A, , 
Mean daily sunshine (hours) for years null to null , , , , , , , , , , , , , ,, , 
Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2011 ,24,23.4,23.5,21.6,18.7,17.4,18.4,20.9,24.1,26.1,27,25.7,22.6,22,1990,2011
Mean number of clear days for years 1894 to 2007 ,4.7,3.9,7.8,12.4,15.7,18,21,22.6,20.9,17.8,11.8,8,164.6,111,1894,2007
Mean number of cloudy days for years 1894 to 2007 ,10.9,10.4,7.5,4,3.3,2.6,2,1.2,1.2,1.8,3.6,6.9,55.4,111,1894,2007
Mean daily evaporation (mm) for years 1973 to 2009 ,6.5,5.8,6,5.6,4.4,3.8,4,5.1,6.9,8.2,8.3,7.6,6,36,1973,2009
Mean 9am temperature (Degrees C) for years 1894 to 2007 ,27.7,27.1,26.7,25.6,23.1,20.3,19.6,21.4,24.4,27.2,28.5,28.5,25,113,1894,2007
Mean 9am wet bulb temperature (Degrees C) for years 1894 to 2007 ,23.1,23.1,22.1,20.1,17.7,15.4,14.5,15.3,17.1,19.3,21.2,22.4,19.3,111,1894,2007
Mean 9am dew point temperature (Degrees C) for years 1894 to 2007 ,20.7,21.1,19.4,16.5,13.5,11,9.6,9.8,11.1,13.6,16.6,19,15.2,111,1894,2007
Mean 9am relative humidity (%) for years 1894 to 2007 ,67,71,66,59,56,57,55,50,46,45,51,58,57,111,1894,2007
Mean 9am cloud cover (okas) for years 1894 to 2007 ,4.2,4.3,3.2,2.1,1.8,1.7,1.3,0.9,1,1.3,2.2,3.2,2.3,112,1894,2007
Mean 9am wind speed (km/h) for years 1894 to 2007 ,7.3,7.3,8.7,11.6,11.8,11.4,10.9,11.3,11.1,10,8.7,7.5,9.8,111,1894,2007
Mean 3pm temperature (Degrees C) for years 1894 to 2007 ,32.9,32.2,32.2,31.5,29.4,27.3,27.3,29.1,32.1,34.7,35.4,34.8,31.6,112,1894,2007
Mean 3pm wet bulb temperature (Degrees C) for years 1894 to 2007 ,24.2,24.4,23.4,21.6,19.6,17.8,17.2,17.7,18.9,20.6,22.3,23.3,20.9,110,1894,2007
Mean 3pm dew point temperature (Degrees C) for years 1894 to 2007 ,19.6,20.4,18.6,15.5,12.5,10.1,8.5,7.9,8.2,10.2,13.7,16.7,13.5,110,1894,2007
Mean 3pm relative humidity (%) for years 1894 to 2007 ,49,53,47,40,38,36,33,29,25,24,30,37,37,110,1894,2007
Mean 3pm cloud cover (oktas) for years 1894 to 2007 ,5,5.2,4.6,3.8,3.1,2.4,2,1.8,2.1,2.8,3.7,4.3,3.4,112,1894,2007
Mean 3pm wind speed (km/h) for years 1894 to 2007 ,7.5,7.3,8,8.9,8.4,8,7.6,8.1,8.5,8.6,8,7.7,8,108,1894,2007
